Date,Product,Price,Quantity
2050-01-01,Microphone,147.16,7
2050-01-02,Keyboard,103.09,10
2050-01-03,Tablet,164.48,7
2050-01-04,Camera,103.48,1
2050-01-05,Microphone,162.92,1
2050-01-06,Tablet,182.2,3
2050-01-07,Tablet,51.75,13
2050-01-08,Camera,124.72,10
2050-01-09,Keyboard,61.07,7
2050-01-10,Keyboard,168.04,1
2050-01-11,Camera,59.61,7
2050-01-12,Phone,103.3,8
2050-01-13,Keyboard,191.28,1
2050-01-14,Phone,106.97,4
2050-01-15,Keyboard,164.44,10
2050-01-16,Microphone,165.74,1
2050-01-17,Keyboard,95.2,13
2050-01-18,Phone,165.91,4
2050-01-19,Keyboard,72.94,11
2050-01-20,Phone,136.8,12
2050-01-21,Keyboard,51.35,5
2050-01-22,Camera,156.36,8
2050-01-23,Camera,120.6,6
2050-01-24,Tablet,164.69,13
2050-01-25,Camera,120.11,4
2050-01-26,Camera,90.35,9
2050-01-27,Camera,174.75,9
2050-01-28,Camera,132.7,1
2050-01-29,Tablet,60.51,7
2050-01-30,Keyboard,120.87,8
2050-01-31,Camera,161.41,13
2050-02-01,Tablet,78.79,14
2050-02-02,Tablet,119.65,10
2050-02-03,Microphone,84.55,6
2050-02-04,Phone,126.24,5
2050-02-05,Camera,81.29,10
2050-02-06,Tablet,57.4,11
2050-02-07,Microphone,127.83,6
2050-02-08,Camera,75.84,3
2050-02-09,Camera,109.45,14
2050-02-10,Microphone,66.1,13
2050-02-11,Keyboard,126.47,6
2050-02-12,Tablet,65.32,7
2050-02-13,Camera,93.31,12
2050-02-14,Microphone,84.76,7
2050-02-15,Keyboard,195.15,13
2050-02-16,Phone,91.75,13
2050-02-17,Keyboard,85.04,9
2050-02-18,Tablet,63.73,12
2050-02-19,Microphone,135.51,11
2050-02-20,Camera,112.69,13
2050-02-21,Phone,105.18,8
2050-02-22,Tablet,171.95,8
2050-02-23,Keyboard,93.46,8
2050-02-24,Camera,157.61,14
2050-02-25,Phone,141.94,12
2050-02-26,Phone,114.04,13
2050-02-27,Camera,162.78,3
2050-02-28,Tablet,114.17,7
2050-03-01,Camera,114.26,12
2050-03-02,Microphone,104.29,1
2050-03-03,Keyboard,73.0,14
2050-03-04,Microphone,190.58,6
2050-03-05,Camera,187.46,3
2050-03-06,Microphone,167.29,2
2050-03-07,Tablet,142.45,12
2050-03-08,Tablet,55.4,11
2050-03-09,Phone,148.15,9
2050-03-10,Phone,69.47,6
2050-03-11,Camera,94.15,10
2050-03-12,Microphone,104.12,5
2050-03-13,Keyboard,91.2,10
2050-03-14,Phone,61.1,12
2050-03-15,Tablet,72.82,12
2050-03-16,Tablet,74.24,2
2050-03-17,Camera,190.81,3
2050-03-18,Camera,105.67,1
2050-03-19,Microphone,57.5,11
2050-03-20,Tablet,161.14,5
2050-03-21,Tablet,94.8,8
2050-03-22,Keyboard,80.65,1
2050-03-23,Phone,197.26,7
2050-03-24,Keyboard,183.95,3
2050-03-25,Microphone,163.9,5
2050-03-26,Microphone,147.67,4
2050-03-27,Tablet,55.95,7
2050-03-28,Microphone,172.08,13
2050-03-29,Keyboard,164.39,8
2050-03-30,Microphone,118.29,7
2050-03-31,Keyboard,129.77,4
2050-04-01,Keyboard,66.4,1
2050-04-02,Keyboard,71.9,14
2050-04-03,Camera,126.32,7
2050-04-04,Tablet,82.35,14
2050-04-05,Keyboard,187.47,5
2050-04-06,Phone,119.32,8
2050-04-07,Tablet,69.84,7
2050-04-08,Phone,164.64,3
2050-04-09,Keyboard,81.91,11
2050-04-10,Camera,61.14,13
